title	score
Natsume Yuujinchou Go Specials (SPECIAL)	85
mono (TV)	85
100-Nichikan Ikita Wani (MOVIE)	85
Sorairo Utility (TV) (TV)	85
IDOLY PRIDE (TV)	85
Monogatari Series: Off & Monster Season (ONA)	85
Alice to Therese no Maboroshi Koujou (MOVIE)	85
Bocchi the Rock! Re:Re: (MOVIE)	85
Hakubo (MOVIE)	85
Hibike! Euphonium 3 (TV)	85
SPY×FAMILY CODE: White (MOVIE)	85
Sore ga Seiyuu! (TV)	85
Hanasaku Iroha: HOME SWEET HOME (MOVIE)	85
Utagoe wa Mille-Feuille (TV)	85
Non Non Biyori: Nonstop - Bukatsu wo Ganbatta (OVA)	85
Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen (SPECIAL)	85
Shingeki no Kyojin: The Final Season (TV)	85
Kagami no Kojou (MOVIE)	85
Shingeki no Kyojin (TV)	85
Mimi wo Sumaseba (MOVIE)	85
Taisou Zamurai (TV)	85
Natsume Yuujinchou (TV)	85
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV)	85
Gakuen Babysitters (TV)	85
Uma Musume: Pretty Derby Season 3 (TV)	85
Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi. (TV)	85
Uma Musume: Pretty Derby (TV)	85
Neko ga Kureta Marui Shiawase (ONA)	85
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. (TV)	85
Hikari no Ou (TV)	85
Uchi no Shishou wa Shippo ga Nai (TV)	85
Made in Abyss: Retsujitsu no Ougonkyou (TV)	85
Bubble (ONA)	85
Ai no Utagoe wo Kikasete (MOVIE)	85
So Ra No Wo To (TV)	85
Kakushigoto (TV)	85
Usagi Drop (TV)	85
Gake no Ue no Ponyo (MOVIE)	85
Amaama to Inazuma (TV)	85
Hori-san to Miyamura-kun (OVA)	85
Tanaka-kun wa Itsumo Kedaruge Tokuten (SPECIAL)	85
Ryuu no Haisha (SPECIAL)	85
Cider no You ni Kotoba ga Wakiagaru (MOVIE)	85
Yuru Camp△ (TV)	85
